amfi_code,scheme_name,fund_house,category,sub_category,cagr_1y_pct,cagr_3y_pct,cagr_5y_pct,sharpe_ratio,sortino_ratio,ann_std_pct,alpha_pct,beta,r_squared,max_drawdown_pct,var_95_pct,cvar_95_pct,composite_score
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,22.26,35.11,24.45,0.998,1.704,19.407,26.0767,-0.0663,0.0019,-20.96,-1.848,-2.426,80.75
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,-42.8,-11.71,1.34,-0.076,-0.128,25.067,4.8016,-0.067,0.0012,-51.68,-2.6188,-3.1667,26.5
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,5.52,5.84,5.16,-0.227,-0.377,3.967,5.6209,-0.0064,0.0004,-4.33,-0.3938,-0.5014,26.0
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,60.44,30.46,22.38,1.208,2.14,13.741,23.201,-0.0318,0.0009,-15.01,-1.2846,-1.6397,73.06
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,5.71,16.27,18.71,0.953,1.61,13.939,19.8686,-0.0262,0.0006,-11.8,-1.3501,-1.7336,61.25
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,82.78,26.67,28.03,0.945,1.675,25.141,30.337,-0.0232,0.0001,-28.71,-2.4507,-3.0595,75.12
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,13.95,-1.34,1.81,-0.057,-0.094,24.95,4.8824,0.062,0.001,-52.57,-2.6859,-3.2384,33.69
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,8.49,13.98,16.36,0.798,1.338,13.884,17.7033,-0.0403,0.0014,-13.9,-1.355,-1.7451,50.38
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,13.06,32.49,20.23,1.027,1.805,14.364,21.1948,0.0162,0.0002,-12.59,-1.3728,-1.7494,76.06
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,29.6,31.78,28.38,1.18,2.029,19.291,29.2636,0.0005,0.0,-18.19,-1.8892,-2.4342,84.5
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,41.82,18.42,14.89,0.649,1.096,15.231,16.2539,0.0419,0.0013,-19.83,-1.4388,-1.9405,54.38
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,7.43,7.39,6.34,0.496,1.052,0.494,6.7462,-0.0004,0.0001,-0.1,-0.0222,-0.0373,38.25
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,16.84,17.27,11.82,0.494,0.863,13.464,13.0429,0.0364,0.0012,-17.57,-1.3142,-1.6363,41.12
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,22.5,7.76,5.87,0.076,0.125,17.895,7.8044,0.0181,0.0002,-24.0,-1.8219,-2.2725,33.88
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,26.66,29.58,26.74,1.307,2.364,15.887,27.3305,-0.0228,0.0003,-12.97,-1.4508,-1.8381,78.25
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,7.12,6.7,6.06,-0.089,-0.188,0.513,6.4557,-0.0004,0.0001,-0.12,-0.0285,-0.0411,31.88
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,28.68,18.43,16.56,0.776,1.331,14.669,17.7298,0.0488,0.0018,-15.2,-1.4592,-1.831,58.0
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,15.44,11.25,9.88,0.301,0.509,18.352,11.9891,0.0091,0.0,-21.12,-1.8365,-2.3094,46.38
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,20.36,34.0,26.8,1.448,2.386,14.194,26.9838,0.0237,0.0005,-11.27,-1.356,-1.7623,80.0
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap,14.27,14.75,19.57,0.926,1.633,15.429,20.873,-0.0264,0.0005,-15.27,-1.4712,-1.8765,52.69
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,39.75,29.18,27.63,1.235,2.147,17.674,28.2704,0.0181,0.0002,-16.4,-1.7118,-2.1328,73.94
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,18.11,18.04,11.7,0.464,0.762,14.354,13.1732,-0.0041,0.0,-14.84,-1.4474,-1.8402,41.44
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,21.48,26.87,25.61,1.132,1.875,17.746,26.5986,-0.0025,0.0,-17.25,-1.7882,-2.2607,67.5
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,65.14,27.0,27.92,0.95,1.62,24.84,30.0579,0.0115,0.0,-31.17,-2.3483,-3.1036,74.94
