amfi_code,scheme_name,fund_house,category,cagr_3y_pct,sharpe_ratio,alpha_pct,beta,max_drawdown_pct,expense_ratio_pct,rank_3y_return,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,composite_score
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,20.82,0.13,8.2328,0.0259,-21.75,0.75,25.0,12.0,13.0,33.0,31.0,52.88
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,14.75,0.926,20.873,-0.0264,-15.27,1.52,17.0,26.0,27.0,14.5,19.0,52.69
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,25.56,0.62,16.2113,0.0167,-21.54,1.64,28.0,19.0,20.0,1.5,30.0,50.94
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,13.98,0.798,17.7033,-0.0403,-13.9,1.42,16.0,24.0,24.0,21.0,14.0,50.38
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,19.67,0.817,17.0488,-0.0195,-10.86,1.57,23.0,25.0,22.0,7.0,7.0,48.25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,11.25,0.301,11.9891,0.0091,-21.12,0.78,15.0,14.0,15.0,31.0,29.0,46.38
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,8.01,0.448,17.5007,0.1035,-23.34,1.53,14.0,15.0,23.0,12.5,32.0,44.06
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,18.04,0.464,13.1732,-0.0041,-14.84,1.54,20.0,16.0,17.0,10.5,16.0,41.44
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,17.27,0.494,13.0429,0.0364,-17.57,1.59,19.0,17.0,16.0,6.0,24.0,41.12
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,7.39,0.496,6.7462,-0.0004,-0.1,0.74,12.0,18.0,10.0,34.0,1.0,38.25
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,7.76,0.076,7.8044,0.0181,-24.0,1.56,13.0,11.0,12.0,8.0,33.0,33.88
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,-1.34,-0.057,4.8824,0.062,-52.57,0.72,3.0,9.0,5.0,35.5,40.0,33.69
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,6.7,-0.089,6.4557,-0.0004,-0.12,0.6,11.0,7.0,9.0,38.0,2.0,31.88
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,-4.15,0.163,10.8971,-0.0653,-35.45,1.53,2.0,13.0,14.0,12.5,38.0,30.81
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,4.06,-0.357,5.0748,0.0013,-8.32,0.55,8.0,3.0,6.0,40.0,6.0,27.38
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,-11.71,-0.076,4.8016,-0.067,-51.68,1.38,1.0,8.0,4.0,24.0,39.0,26.5
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,5.84,-0.227,5.6209,-0.0064,-4.33,0.77,9.0,4.0,7.0,32.0,5.0,26.0
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,6.32,-0.816,6.0861,0.0003,-0.16,0.79,10.0,1.0,8.0,30.0,3.0,24.12
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,3.92,-0.567,4.2818,0.0012,-4.31,0.56,7.0,2.0,3.0,39.0,4.0,23.62
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,-0.77,-0.206,2.8969,-0.0421,-28.0,1.51,4.0,5.0,1.0,16.5,35.0,21.56
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,1.29,-0.202,3.7476,-0.0583,-24.73,1.55,6.0,6.0,2.0,9.0,34.0,21.12
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,0.53,0.031,6.8995,0.0097,-14.4,1.64,5.0,10.0,11.0,1.5,15.0,19.81
